plan_id,amplitude_m,pavage,valid_before,status,valid_after,seed,max_displacement_m
syn-0063,0.5,False,False,ok,True,17640,0.500000
syn-0063,0.5,True,False,ok,True,17640,0.500000
syn-0064,0.1,False,False,InvariantViole,False,17642,
syn-0064,0.1,True,False,ok,True,17642,0.100000
syn-0064,0.25,False,False,InvariantViole,False,17645,
syn-0064,0.25,True,False,ok,True,17645,0.250000
syn-0064,0.5,False,False,ok,True,17650,0.500000
syn-0064,0.5,True,False,ok,True,17650,0.500000
syn-0065,0.1,False,False,InvariantViole,False,17652,
syn-0065,0.1,True,False,ok,True,17652,0.100000
syn-0065,0.25,False,False,ok,True,17655,0.250000
syn-0065,0.25,True,False,ok,True,17655,0.250000
syn-0065,0.5,False,False,InvariantViole,False,17660,
syn-0065,0.5,True,False,ok,True,17660,0.500000
syn-0066,0.1,False,False,InvariantViole,False,17662,
syn-0066,0.1,True,False,ok,True,17662,0.100000
syn-0066,0.25,False,False,ok,True,17665,0.250000
syn-0066,0.25,True,False,ok,True,17665,0.250000
syn-0066,0.5,False,False,ok,True,17670,0.500000
syn-0066,0.5,True,False,ok,True,17670,0.500000
syn-0067,0.1,False,False,ok,True,17672,0.100000
syn-0067,0.1,True,False,ok,True,17672,0.100000
syn-0067,0.25,False,False,ok,True,17675,0.250000
syn-0067,0.25,True,False,ok,True,17675,0.250000
syn-0067,0.5,False,False,ok,True,17680,0.500000
syn-0067,0.5,True,False,ok,True,17680,0.500000
syn-0068,0.1,False,False,InvariantViole,False,17682,
syn-0068,0.1,True,False,ok,True,17682,0.100000
syn-0068,0.25,False,False,ok,True,17685,0.250000
syn-0068,0.25,True,False,ok,True,17685,0.250000
syn-0068,0.5,False,False,ok,True,17690,0.500000
syn-0068,0.5,True,False,ok,True,17690,0.500000
syn-0069,0.1,False,False,InvariantViole,False,17692,
syn-0069,0.1,True,False,ok,True,17692,0.100000
syn-0069,0.25,False,False,InvariantViole,False,17695,
syn-0069,0.25,True,False,ok,True,17695,0.250000
syn-0069,0.5,False,False,ok,True,17700,0.500000
syn-0069,0.5,True,False,ok,True,17700,0.500000
syn-0070,0.1,False,False,ok,True,17702,0.100000
syn-0070,0.1,True,False,ok,True,17702,0.100000
syn-0070,0.25,False,False,ok,True,17705,0.250000
syn-0070,0.25,True,False,ok,True,17705,0.250000
syn-0070,0.5,False,False,ok,True,17710,0.500000
syn-0070,0.5,True,False,ok,True,17710,0.500000
syn-0071,0.1,False,False,InvariantViole,False,17712,
syn-0071,0.1,True,False,ok,True,17712,0.100000
syn-0071,0.25,False,False,ok,True,17715,0.250000
syn-0071,0.25,True,False,ok,True,17715,0.250000
syn-0071,0.5,False,False,InvariantViole,False,17720,
syn-0071,0.5,True,False,ok,True,17720,0.500000
syn-0072,0.1,False,False,InvariantViole,False,17722,
syn-0072,0.1,True,False,ok,True,17722,0.100000
syn-0072,0.25,False,False,ok,True,17725,0.250000
syn-0072,0.25,True,False,ok,True,17725,0.250000
syn-0072,0.5,False,False,InvariantViole,False,17730,
syn-0072,0.5,True,False,ok,True,17730,0.500000
syn-0073,0.1,False,False,InvariantViole,False,17732,
syn-0073,0.1,True,False,ok,True,17732,0.100000
syn-0073,0.25,False,False,InvariantViole,False,17735,
syn-0073,0.25,True,False,ok,True,17735,0.250000
syn-0073,0.5,False,False,InvariantViole,False,17740,
syn-0073,0.5,True,False,ok,True,17740,0.500000
syn-0074,0.1,False,False,InvariantViole,False,17742,
syn-0074,0.1,True,False,ok,True,17742,0.100000
syn-0074,0.25,False,False,ok,True,17745,0.250000
syn-0074,0.25,True,False,ok,True,17745,0.250000
syn-0074,0.5,False,False,InvariantViole,False,17750,
syn-0074,0.5,True,False,ok,True,17750,0.500000
syn-0075,0.1,False,False,ok,True,17752,0.100000
syn-0075,0.1,True,False,ok,True,17752,0.100000
syn-0075,0.25,False,False,InvariantViole,False,17755,
syn-0075,0.25,True,False,ok,True,17755,0.250000
syn-0075,0.5,False,False,InvariantViole,False,17760,
syn-0075,0.5,True,False,ok,True,17760,0.500000
syn-0076,0.1,False,False,ok,True,17762,0.100000
syn-0076,0.1,True,False,ok,True,17762,0.100000
syn-0076,0.25,False,False,ok,True,17765,0.250000
syn-0076,0.25,True,False,ok,True,17765,0.250000
syn-0076,0.5,False,False,ok,True,17770,0.500000
syn-0076,0.5,True,False,ok,True,17770,0.500000
syn-0077,0.1,False,False,InvariantViole,False,17772,
syn-0077,0.1,True,False,ok,True,17772,0.100000
syn-0077,0.25,False,False,ok,True,17775,0.250000
syn-0077,0.25,True,False,ok,True,17775,0.250000
syn-0077,0.5,False,False,InvariantViole,False,17780,
syn-0077,0.5,True,False,ok,True,17780,0.500000
syn-0078,0.1,False,False,ok,True,17782,0.100000
syn-0078,0.1,True,False,ok,True,17782,0.100000
syn-0078,0.25,False,False,ok,True,17785,0.250000
syn-0078,0.25,True,False,ok,True,17785,0.250000
syn-0078,0.5,False,False,InvariantViole,False,17790,
syn-0078,0.5,True,False,ok,True,17790,0.500000
syn-0079,0.1,False,False,InvariantViole,False,17792,
syn-0079,0.1,True,False,ok,True,17792,0.100000
syn-0079,0.25,False,False,InvariantViole,False,17795,
syn-0079,0.25,True,False,ok,True,17795,0.250000
syn-0079,0.5,False,False,InvariantViole,False,17800,
syn-0079,0.5,True,False,ok,True,17800,0.500000
syn-0080,0.1,False,False,InvariantViole,False,17802,
syn-0080,0.1,True,False,ok,True,17802,0.100000
syn-0080,0.25,False,False,ok,True,17805,0.250000
syn-0080,0.25,True,False,ok,True,17805,0.250000
syn-0080,0.5,False,False,InvariantViole,False,17810,
syn-0080,0.5,True,False,ok,True,17810,0.500000
syn-0081,0.1,False,False,ok,True,17812,0.100000
syn-0081,0.1,True,False,ok,True,17812,0.100000
syn-0081,0.25,False,False,ok,True,17815,0.250000
syn-0081,0.25,True,False,ok,True,17815,0.250000
syn-0081,0.5,False,False,ok,True,17820,0.500000
syn-0081,0.5,True,False,ok,True,17820,0.500000
syn-0082,0.1,False,False,InvariantViole,False,17822,
syn-0082,0.1,True,False,ok,True,17822,0.100000
syn-0082,0.25,False,False,InvariantViole,False,17825,
syn-0082,0.25,True,False,ok,True,17825,0.250000
syn-0082,0.5,False,False,InvariantViole,False,17830,
syn-0082,0.5,True,False,ok,True,17830,0.500000
syn-0083,0.1,False,False,InvariantViole,False,17832,
syn-0083,0.1,True,False,ok,True,17832,0.100000
syn-0083,0.25,False,False,InvariantViole,False,17835,
syn-0083,0.25,True,False,ok,True,17835,0.250000
syn-0083,0.5,False,False,ok,True,17840,0.500000
syn-0083,0.5,True,False,ok,True,17840,0.500000
syn-0084,0.1,False,False,InvariantViole,False,17842,
syn-0084,0.1,True,False,ok,True,17842,0.100000
syn-0084,0.25,False,False,InvariantViole,False,17845,
syn-0084,0.25,True,False,ok,True,17845,0.250000
syn-0084,0.5,False,False,ok,True,17850,0.500000
syn-0084,0.5,True,False,ok,True,17850,0.500000
syn-0085,0.1,False,False,InvariantViole,False,17852,
